chamber,sample,stage,treat,plate,well,id,start_wt,abs1,abs2,abs3,abs_avg
Q,pgQy,y,TC,2,C12-2,C12-pgQy,12.73,0.5904,0.5862,0.5832,0.5866
Q,pgQy,y,TC,3,D12-3,D12-pgQy,12.73,0.5776,0.5738,0.5715,0.5743
R,pgRm,m,CO2,1,E05-1,E05-pgRm,12.37,0.4993,0.4959,0.493,0.496066667
R,pgRm,m,CO2,2,C11-2,C11-pgRm,12.37,0.5787,0.5734,0.5696,0.5739
R,pgRm,m,CO2,2,G11-2,G11-pgRm,12.37,0.6146,0.6086,0.6037,0.608966667
R,pgRy,y,CO2,1,A10-1,A10-pgRy,12.52,0.7677,0.7613,0.7591,0.7627
R,pgRy,y,CO2,1,E11-1,E11-pgRy,12.52,0.857,0.8507,0.8496,0.852433333
R,pgRy,y,CO2,2,C05-2,C05-pgRy,12.52,0.7675,0.7565,0.7527,0.7589
S,pgSm,m,TC+CO2,3,F08-3,F08-pgSm,12.31,0.4614,0.4582,0.4575,0.459033333
S,pgSm,m,TC+CO2,3,F11-3,F11-pgSm,12.31,0.5445,0.5412,0.5389,0.541533333
S,pgSm,m,TC+CO2,4,B07-4,B07-pgSm,12.31,0.5113,0.5104,0.5091,0.510266667
S,pgSy,y,TC+CO2,2,C06-2,C06-pgSy,12.64,0.474,0.4682,0.4657,0.4693
S,pgSy,y,TC+CO2,2,E09-2,E09-pgSy,12.64,0.517,0.5117,0.5106,0.5131
S,pgSy,y,TC+CO2,3,F12-3,F12-pgSy,12.64,0.4693,0.4666,0.465,0.466966667
T,pgTm,m,TC,1,E04-1,E04-pgTm,12.16,0.4746,0.4702,0.4692,0.471333333
T,pgTm,m,TC,2,E10-2,E10-pgTm,12.16,0.4894,0.4831,0.4801,0.4842
T,pgTm,m,TC,3,H08-3,H08-pgTm,12.16,0.5155,0.5099,0.5077,0.511033333
T,pgTy,y,TC,2,C02-2,C02-pgTy,12.57,0.589,0.5822,0.5767,0.582633333
T,pgTy,y,TC,3,B08-3,B08-pgTy,12.57,0.6228,0.6173,0.615,0.618366667
T,pgTy,y,TC,3,D07-3,D07-pgTy,12.57,0.6565,0.6505,0.6478,0.6516
